epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,680.485,2.29976,3.63182,1.25849,0.57789,0.18896,0.1586,0.0571,2.37162,2.5489,1.15557,0.000165648,0.000165648,0.000165648
2,1332.95,2.01439,2.39277,1.11771,0.3988,0.3009,0.23204,0.08647,2.19824,2.12143,1.10641,0.000299355,0.000299355,0.000299355
3,1864.76,1.99413,2.15001,1.11763,0.27566,0.33511,0.25461,0.10434,2.08444,1.96116,1.0949,0.000400076,0.000400076,0.000400076
4,2301.03,1.91862,1.94046,1.10519,0.45078,0.35612,0.30609,0.12499,2.01428,1.72204,1.06245,0.00046781,0.00046781,0.00046781
5,3177.48,1.89169,1.79387,1.09768,0.44578,0.36221,0.32556,0.14259,1.97923,1.67332,1.0662,0.000502557,0.000502557,0.000502557
6,4113.92,1.85972,1.74185,1.08234,0.44254,0.39474,0.32944,0.13838,1.94383,1.64729,1.04293,0.000420665,0.000420665,0.000420665
7,5113.63,1.8356,1.66166,1.07005,0.51133,0.3752,0.33975,0.14963,1.92917,1.57028,1.04933,0.000338198,0.000338198,0.000338198
8,6350.28,1.79794,1.58813,1.05518,0.36304,0.41768,0.37346,0.16365,1.9162,1.49572,1.04171,0.000255731,0.000255731,0.000255731
9,7286.17,1.78442,1.54583,1.04326,0.3639,0.44468,0.36959,0.1699,1.85184,1.47822,1.0296,0.000173264,0.000173264,0.000173264
10,8061.14,1.76351,1.50441,1.0423,0.47218,0.45263,0.40494,0.18624,1.8134,1.42982,1.01799,9.0797e-05,9.0797e-05,9.0797e-05
1,522.982,2.00753,1.84712,1.09858,0.51213,0.37594,0.35592,0.15397,2.00847,1.53192,1.06041,0.000165648,0.000165648,0.000165648
2,1378.27,1.93683,1.68285,1.07125,0.46359,0.37471,0.33146,0.15253,1.89501,1.54418,1.0165,0.000321284,0.000321284,0.000321284
1,870.616,1.8126,1.57563,1.03821,0.51651,0.39391,0.37369,0.16604,1.87514,1.48653,1.02756,0.000165648,0.000165648,0.000165648
3,2186.28,1.92412,1.63782,1.06087,0.38017,0.43527,0.37293,0.15497,1.94878,1.49077,1.03116,0.000465924,0.000465924,0.000465924
2,1688.17,1.91947,1.64925,1.06343,0.4356,0.39784,0.33783,0.15147,1.93352,1.59147,1.02301,0.000321284,0.000321284,0.000321284
4,2989.9,1.89861,1.61411,1.05957,0.34287,0.47265,0.36168,0.15128,2.00114,1.551,1.03138,0.000599569,0.000599569,0.000599569
3,2505.15,1.90971,1.62536,1.0524,0.4895,0.39939,0.36409,0.14971,1.90774,1.4809,1.01505,0.000465924,0.000465924,0.000465924
5,3887.61,1.90465,1.58722,1.05482,0.44663,0.43833,0.3956,0.1831,1.86811,1.45725,1.03607,0.000722218,0.000722218,0.000722218
4,3456.31,1.89051,1.59923,1.05091,0.36913,0.46341,0.38272,0.16518,1.85937,1.46249,1.00311,0.000599569,0.000599569,0.000599569
6,4992.82,1.91572,1.57609,1.0655,0.44345,0.50226,0.44538,0.20297,1.83433,1.39935,1.00578,0.000695555,0.000695555,0.000695555
5,4544.73,1.89607,1.57903,1.04917,0.41625,0.46552,0.41422,0.188,1.85617,1.44419,1.00962,0.000722218,0.000722218,0.000722218
7,6095.82,1.87681,1.53001,1.05263,0.59038,0.45969,0.43307,0.18039,1.97564,1.47813,1.02815,0.000668066,0.000668066,0.000668066
6,5628.44,1.92211,1.57299,1.05996,0.60783,0.43898,0.44014,0.20737,1.8408,1.44308,1.00059,0.000695555,0.000695555,0.000695555
8,6947.04,1.83244,1.50034,1.04547,0.62263,0.44991,0.4284,0.18179,1.9446,1.46373,1.02865,0.000640577,0.000640577,0.000640577
7,6486.73,1.86067,1.51224,1.04521,0.45779,0.48342,0.44686,0.18684,1.93058,1.42363,1.02034,0.000668066,0.000668066,0.000668066
9,7769.98,1.81225,1.48762,1.03762,0.63436,0.45774,0.452,0.20715,1.83243,1.33766,1.00168,0.000613088,0.000613088,0.000613088
8,7309.52,1.82584,1.49246,1.03945,0.49496,0.46754,0.42985,0.19095,1.9408,1.37644,1.01879,0.000640577,0.000640577,0.000640577
10,8597.02,1.80101,1.4555,1.02595,0.44204,0.49901,0.43915,0.2042,1.78027,1.34687,0.99212,0.000585599,0.000585599,0.000585599
9,8141.81,1.80735,1.47584,1.03349,0.5749,0.44685,0.43987,0.19969,1.84763,1.33367,1.00459,0.000613088,0.000613088,0.000613088
11,9403.02,1.79903,1.45412,1.0346,0.43945,0.50778,0.45289,0.2085,1.75523,1.27317,0.98699,0.00055811,0.00055811,0.00055811
10,8950.77,1.80634,1.45614,1.02343,0.4244,0.47637,0.43894,0.20495,1.81511,1.40709,0.98915,0.000585599,0.000585599,0.000585599
12,10197.4,1.7945,1.41637,1.02831,0.45603,0.4645,0.43265,0.20181,1.80179,1.30018,0.98574,0.000530621,0.000530621,0.000530621
11,9757.48,1.78033,1.44632,1.02588,0.46811,0.48679,0.44505,0.21211,1.77846,1.30145,0.98941,0.00055811,0.00055811,0.00055811
13,11167.8,1.799,1.41894,1.02727,0.56726,0.4999,0.48481,0.22012,1.8698,1.31553,1.00051,0.000503132,0.000503132,0.000503132
12,10733.9,1.79462,1.41616,1.02418,0.47493,0.475,0.45117,0.21788,1.75127,1.27837,0.97651,0.000530621,0.000530621,0.000530621
14,12098.2,1.76937,1.39726,1.02224,0.52201,0.50643,0.47779,0.23016,1.74912,1.29712,0.97597,0.000475643,0.000475643,0.000475643
13,11706.4,1.80677,1.41577,1.02526,0.57816,0.49782,0.48083,0.22021,1.8208,1.38292,0.98845,0.000503132,0.000503132,0.000503132
15,13373.8,1.76567,1.38375,1.02179,0.61093,0.5249,0.49753,0.23569,1.72843,1.2434,0.97446,0.000448154,0.000448154,0.000448154
14,12993.6,1.77515,1.39738,1.01972,0.49289,0.49495,0.47964,0.22683,1.70995,1.28552,0.97405,0.000475643,0.000475643,0.000475643
16,14550.9,1.7612,1.3983,1.02377,0.51167,0.51604,0.46752,0.23392,1.73302,1.23203,0.98165,0.000420665,0.000420665,0.000420665
15,14263.3,1.76518,1.38925,1.01696,0.62328,0.49961,0.48667,0.23303,1.70054,1.23746,0.97647,0.000448154,0.000448154,0.000448154
17,16160.2,1.73639,1.36718,1.01434,0.47952,0.53912,0.4935,0.23998,1.70591,1.26061,0.96665,0.000393176,0.000393176,0.000393176
16,15852.9,1.76636,1.38368,1.02235,0.49452,0.52124,0.47537,0.23142,1.72567,1.24977,0.97496,0.000420665,0.000420665,0.000420665
18,17437,1.72049,1.34908,1.01059,0.5846,0.49602,0.51663,0.25756,1.71111,1.22324,0.96721,0.000365687,0.000365687,0.000365687
17,17196,1.73514,1.36656,1.01097,0.46955,0.53736,0.48129,0.22416,1.7515,1.26478,0.96372,0.000393176,0.000393176,0.000393176
19,20199.3,1.72924,1.34903,1.00851,0.45723,0.50038,0.49601,0.24345,1.68346,1.23522,0.9602,0.000338198,0.000338198,0.000338198
18,20192.3,1.71808,1.34835,1.00382,0.53789,0.5437,0.49658,0.24942,1.70681,1.21575,0.96809,0.000365687,0.000365687,0.000365687
20,22323.1,1.7158,1.34461,1.00872,0.50209,0.52266,0.50332,0.25428,1.66956,1.21423,0.9648,0.000310709,0.000310709,0.000310709
19,22229.1,1.72131,1.34716,1.0069,0.49073,0.51961,0.49331,0.24091,1.70535,1.24335,0.96726,0.000338198,0.000338198,0.000338198
21,24345.4,1.65374,1.27321,1.00159,0.5289,0.54847,0.50987,0.25187,1.70187,1.2132,0.96971,0.00028322,0.00028322,0.00028322
20,24467.6,1.71634,1.33979,1.00592,0.54169,0.48669,0.49757,0.24468,1.66628,1.21045,0.96082,0.000310709,0.000310709,0.000310709
22,49244.5,1.63453,1.23541,0.99665,0.7048,0.52834,0.52266,0.25793,1.70204,1.20562,0.9614,0.000255731,0.000255731,0.000255731
23,49877.7,1.61311,1.2074,0.98697,0.49566,0.56509,0.52907,0.2577,1.67761,1.18825,0.96191,0.000228242,0.000228242,0.000228242
24,50687.4,1.59694,1.20598,0.99026,0.53412,0.53634,0.53238,0.25567,1.72463,1.18412,0.97148,0.000200753,0.000200753,0.000200753
25,51221.8,1.56804,1.17291,0.98014,0.55099,0.52923,0.53559,0.25688,1.71517,1.17581,0.96919,0.000173264,0.000173264,0.000173264
26,51779.7,1.56959,1.16343,0.98373,0.52889,0.58309,0.5473,0.2676,1.67259,1.15288,0.96147,0.000145775,0.000145775,0.000145775
